FILE NAME,力老陋篮漠哗绰家府.wav
N,compressed rate,MSE,MAE
0,2.7155172413793105,0.0005927430272749112,0.01931572766568596
1,2.7155172413793105,0.0005927430272749112,0.01931572766568596
2,3.053448275862069,0.07748432265551365,0.2397779086389932
3,3.053448275862069,0.07748432265551365,0.2397779086389932
4,3.277586206896552,0.07589234000034324,0.23781589318776333
5,3.277586206896552,0.07589234000034324,0.23781589318776333
6,3.317241379310345,0.08601205946371288,0.25701397253830494
7,3.317241379310345,0.08601205946371288,0.25701397253830494
8,3.331034482758621,0.0760654624179806,0.23458604957406262
9,3.331034482758621,0.0760654624179806,0.23458604957406262
10,3.329310344827586,0.08509265436724994,0.25454971872114973
11,3.329310344827586,0.08509265436724994,0.25454971872114973
12,3.3741379310344826,0.08504137782439926,0.25374187405288695
13,3.3741379310344826,0.08504137782439926,0.25374187405288695
14,3.360344827586207,0.08937836742855271,0.25931821320054166
15,3.360344827586207,0.08937836742855271,0.25931821320054166
16,3.3586206896551722,0.07725756730869042,0.2387297427123011
17,3.3586206896551722,0.07725756730869042,0.2387297427123011
18,3.3465517241379312,0.0937925600701022,0.27227313316444823
19,3.3465517241379312,0.0937925600701022,0.27227313316444823
20,3.3517241379310345,0.08252956453968159,0.24812390419575822
21,3.3517241379310345,0.08252956453968159,0.24812390419575822
22,3.3275862068965516,0.08790818273939481,0.2585830547716739
23,3.306896551724138,0.08443249756927258,0.2569727529812898
24,3.306896551724138,0.08443249756927258,0.2569727529812898
25,3.2810344827586206,0.07694492377427127,0.23460317115657073
26,3.2810344827586206,0.07694492377427127,0.23460317115657073
27,3.296551724137931,0.08349527067582863,0.2502314870401517
28,3.296551724137931,0.08349527067582863,0.2502314870401517
29,3.2706896551724136,0.08170957113984663,0.2447034268276834
30,3.2706896551724136,0.08170957113984663,0.2447034268276834
31,3.268965517241379,0.09553791776598282,0.27152472360357194
32,3.268965517241379,0.09553791776598282,0.27152472360357194
33,3.263793103448276,0.08680641561776087,0.2591370345372703
34,3.263793103448276,0.08680641561776087,0.2591370345372703
35,3.2482758620689656,0.07708320666114629,0.241346073542819
36,3.2482758620689656,0.07708320666114629,0.241346073542819
37,3.2155172413793105,0.0837806424653888,0.2520167724275757
38,3.2155172413793105,0.0837806424653888,0.2520167724275757
39,3.1982758620689653,0.08277440624424537,0.24747065869300294
40,3.1982758620689653,0.08277440624424537,0.24747065869300294
41,3.18448275862069,0.08120987867009517,0.2461071745616552
42,3.18448275862069,0.08120987867009517,0.2461071745616552
43,3.1724137931034484,0.08826572283917372,0.2567630473348197
44,3.1724137931034484,0.08826572283917372,0.2567630473348197
45,3.1620689655172414,0.08493887724833388,0.25381289507145516
46,3.1620689655172414,0.08493887724833388,0.25381289507145516
47,3.15,0.09308558557787484,0.26672477235103564
48,3.15,0.09308558557787484,0.26672477235103564
49,3.136206896551724,0.08774484929213881,0.25683999230347626
50,3.136206896551724,0.08774484929213881,0.25683999230347626
51,3.136206896551724,0.08062057481059291,0.2439922934265027
52,3.136206896551724,0.08062057481059291,0.2439922934265027
53,3.1120689655172415,0.08226602865159012,0.24732534726338667
54,3.1120689655172415,0.08226602865159012,0.24732534726338667
55,3.0689655172413794,0.08691062931886456,0.2583534163085006
56,3.0689655172413794,0.08691062931886456,0.2583534163085006
57,3.086206896551724,0.08625176503249499,0.2541483756275355
58,3.086206896551724,0.08625176503249499,0.2541483756275355
59,3.081034482758621,0.08546226098050465,0.253773035304694
60,3.081034482758621,0.08546226098050465,0.253773035304694
61,3.032758620689655,0.08464263093845749,0.2555749423805256
62,3.032758620689655,0.08464263093845749,0.2555749423805256
63,3.003448275862069,0.08219916716631363,0.24928809715312533
64,3.003448275862069,0.08219916716631363,0.24928809715312533
65,2.9913793103448274,0.07432313127264852,0.23043425172453663
66,2.9913793103448274,0.07432313127264852,0.23043425172453663
67,3.0172413793103448,0.0843711759050541,0.25045541997885346
68,3.0172413793103448,0.0843711759050541,0.25045541997885346
69,2.9931034482758623,0.07374607722166367,0.23041336529297604
70,2.9931034482758623,0.07374607722166367,0.23041336529297604
71,2.970689655172414,0.08321928758900256,0.25158980725285385
72,2.967241379310345,0.0852522692016531,0.25444849657645136
73,2.967241379310345,0.0852522692016531,0.25444849657645136
74,2.943103448275862,0.08740673121237667,0.26044048832992456
75,2.943103448275862,0.08740673121237667,0.26044048832992456
76,2.9517241379310346,0.08229956680953536,0.24864622941433717
77,2.9517241379310346,0.08229956680953536,0.24864622941433717
78,2.953448275862069,0.07563137309314272,0.23697490864682547
79,2.953448275862069,0.07563137309314272,0.23697490864682547
80,2.95,0.08360530105721185,0.24701607115620097
81,2.95,0.08360530105721185,0.24701607115620097
82,2.93448275862069,0.07926246042537312,0.24274047078524313
83,2.93448275862069,0.07926246042537312,0.24274047078524313
84,2.920689655172414,0.08859221471696231,0.2593954224385631
85,2.920689655172414,0.08859221471696231,0.2593954224385631
86,2.9120689655172414,0.08723323021300035,0.2565189270786859
87,2.9120689655172414,0.08723323021300035,0.2565189270786859
88,2.8982758620689655,0.07720904454116524,0.23785310979520188
89,2.8982758620689655,0.07720904454116524,0.23785310979520188
90,2.9,0.08484827523118631,0.25152485077866266
91,2.9,0.08484827523118631,0.25152485077866266
92,2.8879310344827585,0.07663000777925981,0.2390902418570521
93,2.8879310344827585,0.07663000777925981,0.2390902418570521
94,2.863793103448276,0.0717163399191028,0.22827797073148012
95,2.863793103448276,0.0717163399191028,0.22827797073148012
96,2.860344827586207,0.08332732305638692,0.2498121544206337
97,2.860344827586207,0.08332732305638692,0.2498121544206337
98,2.853448275862069,0.08246119713635688,0.24604143377105087
99,2.853448275862069,0.08246119713635688,0.24604143377105087
100,2.8275862068965516,0.08628823421260778,0.2594311371809001
101,2.8275862068965516,0.08628823421260778,0.2594311371809001
102,2.8086206896551724,0.08136683600241246,0.24528458011734955
103,2.8086206896551724,0.08136683600241246,0.24528458011734955
104,2.8137931034482757,0.09051364224307122,0.2654677690411311
105,2.8137931034482757,0.09051364224307122,0.2654677690411311
106,2.777586206896552,0.08026745418588589,0.24604597194642455
107,2.777586206896552,0.08026745418588589,0.24604597194642455
108,2.779310344827586,0.0926845738394048,0.2671019184884774
109,2.779310344827586,0.0926845738394048,0.2671019184884774
110,2.753448275862069,0.08657764433008687,0.25859901133629604
