FILE NAME,sin_mono_shorten.wav
N,compressed rate,MSE,MAE
0,2.194132873166523,3.546402449348211e-05,0.004736134474566573
10,2.2535591026747195,0.08680257000435906,0.25642244383384694
20,2.287316652286454,0.08430987782192503,0.2515437904495635
30,2.304680759275237,0.08291594265035096,0.25014231640974277
40,2.316544434857636,0.08382568738310384,0.2508879976954331
50,2.3210742018981882,0.08548713384887241,0.25370533347824475
60,2.3258196721311477,0.08223227203792534,0.24764444975353872
70,2.3382226056945643,0.08236323053438259,0.2477616964941251
80,2.344693701466782,0.08478340689725357,0.2526481563050274
90,2.3448015530629855,0.08373892814187209,0.2510299294049392
100,2.3439387402933565,0.08184801175923195,0.24708591826569445
110,2.362381363244176,0.08448188671622602,0.2514997001943197
120,2.3596850733390853,0.08294068605664179,0.24960069453249306
130,2.3620578084555652,0.0822715773317929,0.24734457583519007
140,2.3693917169974115,0.08437736370099941,0.25170887802030467
150,2.370685936151855,0.08433034732319096,0.25216903046187533
160,2.375539257981018,0.08538885223651284,0.2543358986194175
170,2.3757549611734254,0.08429832152028618,0.25123067547567324
180,2.379637618636756,0.08370779747541035,0.25009196609406803
190,2.3779119930974977,0.08375607639627151,0.2511333814508652
200,2.377804141501294,0.0844837225977903,0.2520286954963609
210,2.3769413287316654,0.08316054791082285,0.24913657195520086
220,2.380500431406385,0.08458792566529087,0.2531974668014417
230,2.3776962899050904,0.08346282546135562,0.2504272445752257
240,2.3745685936151855,0.08304671027625934,0.2493915746897178
250,2.3820103537532353,0.083255691626272,0.24951791689469222
260,2.3820103537532353,0.08601894145605911,0.25507468805787026
270,2.3773727351164795,0.0846763750777569,0.25306892331357733
280,2.374352890422778,0.08224099956268784,0.24749404401921501
290,2.3735979292493528,0.08284728681207096,0.24894103249441116
300,2.37618636755824,0.08254134898720304,0.24868072942299121
310,2.376833477135462,0.0833639263463945,0.24966873590275193
320,2.3720880069025023,0.08225731743798409,0.24802831080366328
330,2.3696074201898187,0.08196859490407864,0.24847008571703785
340,2.3693917169974115,0.08369526348699836,0.25069232904539085
350,2.3700388265746333,0.0841470967764246,0.25122862999486884
360,2.365832614322692,0.08390203301332251,0.2516754205279261
370,2.362165660051769,0.08453416407873601,0.2521198927525123
380,2.36399913718723,0.0823384717195436,0.24806807907818196
390,2.364969801553063,0.08319692931820606,0.24980226672092132
400,2.3622735116479725,0.0821360762111176,0.24703698305058158
410,2.3599007765314925,0.0841758382391648,0.25223929710894893
420,2.3620578084555652,0.0847025952649239,0.2526270270362883
430,2.3553710094909404,0.08349316968991435,0.25077652494139396
440,2.3531061259706645,0.08194210282476175,0.24763415042707645
450,2.3570966350301985,0.08197036269227428,0.24767299607395363
460,2.352351164797239,0.0829022636717489,0.24949304504692646
470,2.353537532355479,0.08372814206768582,0.25072559285039536
480,2.349762726488352,0.08422891181003776,0.25189748443196736
490,2.3481449525452978,0.08332595437413814,0.2502775561380798
500,2.349762726488352,0.08334666133953066,0.2496971207663735
510,2.3436151855047456,0.08339755350873922,0.25016811420741664
520,2.342320966350302,0.08403276539991547,0.25197543045819115
530,2.341458153580673,0.08332773982279845,0.25058418519844233
540,2.338330457290768,0.08411735783013069,0.25189004818687116
550,2.3399482312338225,0.08393700141200423,0.25014217340554484
560,2.3341242450388267,0.08253885104124857,0.24864494099483123
